phrase,category,d_speeches,r_speeches,total,percent_of_d_speeches,percent_of_r_speeches,chi2,pval
100 000, ,5,6,11,21.74,22.22,0.001317523,0.971044984
100 million, ,5,6,11,21.74,22.22,0.001317523,0.971044984
state local, ,5,6,11,21.74,22.22,0.001317523,0.971044984
good work, ,5,6,11,21.74,22.22,0.001317523,0.971044984
worth, ,5,6,11,21.74,22.22,0.001317523,0.971044984
couple, ,5,6,11,21.74,22.22,0.001317523,0.971044984
loved, ,5,6,11,21.74,22.22,0.001317523,0.971044984
salary,economy/fiscal issues,5,6,11,21.74,22.22,0.001317523,0.971044984
elementary,education,5,6,11,21.74,22.22,0.001317523,0.971044984
qualified, ,5,6,11,21.74,22.22,0.001317523,0.971044984
advocate, ,5,6,11,21.74,22.22,0.001317523,0.971044984
job creation,economy/fiscal issues,5,6,11,21.74,22.22,0.001317523,0.971044984
amendment, ,5,6,11,21.74,22.22,0.001317523,0.971044984
alongside, ,5,6,11,21.74,22.22,0.001317523,0.971044984
exciting, ,5,6,11,21.74,22.22,0.001317523,0.971044984
excited, ,5,6,11,21.74,22.22,0.001317523,0.971044984
allows, ,5,6,11,21.74,22.22,0.001317523,0.971044984
electric, ,5,6,11,21.74,22.22,0.001317523,0.971044984
inaugural, ,5,6,11,21.74,22.22,0.001317523,0.971044984
retirement, ,5,6,11,21.74,22.22,0.001317523,0.971044984
12 education,education,5,6,11,21.74,22.22,0.001317523,0.971044984
creative, ,5,6,11,21.74,22.22,0.001317523,0.971044984
community colleges,education,5,6,11,21.74,22.22,0.001317523,0.971044984
low, ,16,19,35,69.57,70.37,0.001150219,0.972945034
higher, ,16,19,35,69.57,70.37,0.001150219,0.972945034
members, ,22,26,48,95.65,96.3,0.000536769,0.98151605
let, ,22,26,48,95.65,96.3,0.000536769,0.98151605
job,economy/fiscal issues,22,26,48,95.65,96.3,0.000536769,0.98151605
future, ,22,26,48,95.65,96.3,0.000536769,0.98151605
jobs,economy/fiscal issues,22,26,48,95.65,96.3,0.000536769,0.98151605
parents, ,18,21,39,78.26,77.78,0.000371609,0.984620001
number, ,18,21,39,78.26,77.78,0.000371609,0.984620001
innovation,economy/fiscal issues,11,13,24,47.83,48.15,0.000268384,0.986929289
save, ,11,13,24,47.83,48.15,0.000268384,0.986929289
200, ,11,13,24,47.83,48.15,0.000268384,0.986929289
heard, ,11,13,24,47.83,48.15,0.000268384,0.986929289
political, ,11,13,24,47.83,48.15,0.000268384,0.986929289
century, ,11,13,24,47.83,48.15,0.000268384,0.986929289
chance, ,12,14,26,52.17,51.85,0.000247739,0.987442024
lost, ,12,14,26,52.17,51.85,0.000247739,0.987442024
built, ,12,14,26,52.17,51.85,0.000247739,0.987442024
residents, ,6,7,13,26.09,25.93,0.00012387,0.991119987
formula, ,6,7,13,26.09,25.93,0.00012387,0.991119987
night, ,6,7,13,26.09,25.93,0.00012387,0.991119987
reflect, ,6,7,13,26.09,25.93,0.00012387,0.991119987
represent, ,6,7,13,26.09,25.93,0.00012387,0.991119987
cuts, ,6,7,13,26.09,25.93,0.00012387,0.991119987
workforce development,economy/fiscal issues,6,7,13,26.09,25.93,0.00012387,0.991119987
fourth, ,6,7,13,26.09,25.93,0.00012387,0.991119987
threat, ,6,7,13,26.09,25.93,0.00012387,0.991119987
focusing, ,6,7,13,26.09,25.93,0.00012387,0.991119987
balanced, ,6,7,13,26.09,25.93,0.00012387,0.991119987
high school students,education,6,7,13,26.09,25.93,0.00012387,0.991119987
immediately, ,6,7,13,26.09,25.93,0.00012387,0.991119987
importantly, ,6,7,13,26.09,25.93,0.00012387,0.991119987
seven, ,6,7,13,26.09,25.93,0.00012387,0.991119987
facility, ,6,7,13,26.09,25.93,0.00012387,0.991119987
win, ,6,7,13,26.09,25.93,0.00012387,0.991119987
beautiful, ,6,7,13,26.09,25.93,0.00012387,0.991119987
fail, ,6,7,13,26.09,25.93,0.00012387,0.991119987
high speed, ,6,7,13,26.09,25.93,0.00012387,0.991119987
75, ,6,7,13,26.09,25.93,0.00012387,0.991119987
intend, ,6,7,13,26.09,25.93,0.00012387,0.991119987
haven, ,6,7,13,26.09,25.93,0.00012387,0.991119987
trump, ,6,7,13,26.09,25.93,0.00012387,0.991119987
invest, ,17,20,37,73.91,74.07,4.35E-05,0.994736311
years, ,23,27,50,100,100,0,1
new, ,23,27,50,100,100,0,1
state, ,23,27,50,100,100,0,1
work, ,23,27,50,100,100,0,1
education,education,23,27,50,100,100,0,1
school,education,23,27,50,100,100,0,1
thank, ,23,27,50,100,100,0,1
people, ,23,27,50,100,100,0,1
working,economy/fiscal issues,23,27,50,100,100,0,1
make, ,23,27,50,100,100,0,1
