Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,2020 Election Stance,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women
Mike Kelly,Male,White,,,Yes,No,Pennsylvania,5/17/22,Representative,16,"87,028",100%,Won,N/A,N/A,N/A,Fully denied,Yes,5/10/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeremy Shaffer,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,17,"40,965",59%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jason Killmeyer,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,17,"16,801",24%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kathy Coder,Female,White,,,No,No,Pennsylvania,5/17/22,Representative,17,"12,079",17%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lou Barletta,Male,White,,,No,No,Pennsylvania,5/17/22,Governor,N/A,"273,252",20%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Douglas V. Mastriano,Male,White,,,No,No,Pennsylvania,5/17/22,Governor,N/A,"591,240",44%,Won,N/A,N/A,N/A,Fully denied,Yes,5/14/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nche Zama,Male,Black,,,No,No,Pennsylvania,5/17/22,Governor,N/A,"16,238",1%,Lost,N/A,N/A,N/A,Avoided answering,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dave White,Male,White,,,No,No,Pennsylvania,5/17/22,Governor,N/A,"129,058",10%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Melissa Hart,Female,White,,,No,No,Pennsylvania,5/17/22,Governor,N/A,"54,752",4%,Lost,N/A,N/A,N/A,Avoided answering,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bill McSwain,Male,White,,,No,No,Pennsylvania,5/17/22,Governor,N/A,"212,886",16%,Lost,N/A,N/A,N/A,Accepted with reservations,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Charlie Gerow,Male,Latino (Brazilian),,,No,No,Pennsylvania,5/17/22,Governor,N/A,"17,922",1%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joe Gale,Male,White,,,No,No,Pennsylvania,5/17/22,Governor,N/A,"27,920",2%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jake Corman,Male,White,,,No,No,Pennsylvania,5/17/22,Governor,N/A,"26,091",2%,Lost,N/A,N/A,N/A,Accepted with reservations,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bob Good,Male,White,,,Yes,No,Virginia,5/21/22,Representative,5,N/A,N/A,Won,N/A,N/A,N/A,Fully denied,Yes,2/26/22,N/A,N/A,No,N/A,N/A,N/A,N/A
Dan Moy,Male,White,,,No,Yes,Virginia,5/21/22,Representative,5,N/A,N/A,Lost,N/A,N/A,N/A,Accepted with reservations,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Monica Carpio,Female,White,,,No,No,Virginia,5/21/22,Representative,8,N/A,N/A,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeff Jordan,Male,White,,,No,No,Virginia,5/21/22,Representative,8,N/A,N/A,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Heerak Kim,Male,Asian (Korean),,,No,No,Virginia,5/21/22,Representative,8,N/A,N/A,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Karina Lipsman,Female,White,,,No,No,Virginia,5/21/22,Representative,8,N/A,N/A,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kezia Tunnell,Female,White,,,No,No,Virginia,5/21/22,Representative,8,N/A,N/A,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Beatty,Male,White,,,No,No,Virginia,5/21/22,Representative,10,232,2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A
Dave Beckwith,Male,White,,,No,No,Virginia,5/21/22,Representative,10,308,2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A
Hung Cao,Male,Asian (Vietnamese),,,No,No,Virginia,5/21/22,Representative,10,"6,363",42%,Made runoff,"7,729",52%,Won,Raised questions,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A
Mike Clancy,Male,White,,,No,No,Virginia,5/21/22,Representative,10,719,5%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A
Theresa Coates Ellis,Female,White,,,No,No,Virginia,5/21/22,Representative,10,259,2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A
John Henley,Male,White,,,No,No,Virginia,5/21/22,Representative,10,612,4%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A
Jeanine Lawson,Female,White,,,No,No,Virginia,5/21/22,Representative,10,"4,373",29%,Made runoff,"5,000",34%,Lost,Raised questions,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A
Caleb Max,Male,White,,,No,No,Virginia,5/21/22,Representative,10,621,4%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A
Jeff Mayhugh,Male,White,,,No,No,Virginia,5/21/22,Representative,10,64,0%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A
Brandon Michon,Male,White,,,No,No,Virginia,5/21/22,Representative,10,"1,538",10%,Made runoff,"2,052",14%,Lost,No comment,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A
Brooke Taylor,Female,White,,,No,No,Virginia,5/21/22,Representative,10,56,0%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A
Lillie Boddie,Female,Unknown,,,No,No,Alabama,5/24/22,Senator,N/A,"4,849",1%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,No,N/A,N/A,N/A,No,No,No
Katie Britt,Female,White,,,No,No,Alabama,5/24/22,Senator,N/A,"289,425",45%,Made runoff,253251,63%,Won,Fully denied,Yes (runoff only),6/10/22,No,N/A,N/A,N/A,Yes,Yes,Yes
Mo Brooks,Male,White,,,No,No,Alabama,5/24/22,Senator,N/A,"188,539",29%,Made runoff,148636,37%,Lost,Fully denied,No,3/23/22,Yes,N/A,N/A,N/A,No,No,No
Karla M. DuPriest,Female,Black,,,No,No,Alabama,5/24/22,Senator,N/A,"5,739",1%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,No,N/A,N/A,N/A,No,No,No
Mike Durant,Male,White,,,No,No,Alabama,5/24/22,Senator,N/A,"150,817",23%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,No,N/A,N/A,N/A,No,No,No
Jake Schafer,Male,White,,,No,No,Alabama,5/24/22,Senator,N/A,"7,371",1%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,No,N/A,N/A,N/A,No,No,No
Jerry Carl,Male,White,,,Yes,No,Alabama,5/24/22,Representative,1,1,100%,Won,N/A,N/A,N/A,Fully denied,Yes,5/21/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Barry Moore,Male,White,,,Yes,No,Alabama,5/24/22,Representative,2,1,100%,Won,N/A,N/A,N/A,Fully denied,Yes,5/21/22,Yes,N/A,N/A,N/A,N/A,N/A,N/A
Michael T. Joiner,Male,White,,,No,Yes,Alabama,5/24/22,Representative,3,"15,618",18%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Rogers,Male,White,,,Yes,No,Alabama,5/24/22,Representative,3,"70,843",82%,Won,N/A,N/A,N/A,Fully denied,Yes,5/21/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Robert Aderholt,Male,White,,,Yes,No,Alabama,5/24/22,Representative,4,1,100%,Won,N/A,N/A,N/A,Fully denied,Yes,5/21/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andy Blalock,Male,Unknown,,,No,No,Alabama,5/24/22,Representative,5,"5,608",6%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Roberts,Male,White,,,No,No,Alabama,5/24/22,Representative,5,"13,979",14%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paul Sanford,Male,White,,,No,No,Alabama,5/24/22,Representative,5,"11,573",11%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dale Strong,Male,White,,,No,No,Alabama,5/24/22,Representative,5,"45,319",45%,Made runoff,48138,63%,Won,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Casey Wardynski,Male,White,,,No,No,Alabama,5/24/22,Representative,5,"23,340",23%,Made runoff,27794,37%,Lost,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harrison Wright,Male,White,,,No,No,Alabama,5/24/22,Representative,5,"1,509",1%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gary Palmer,Male,White,,,Yes,No,Alabama,5/24/22,Representative,6,1,100%,Won,N/A,N/A,N/A,Fully denied,Yes,1/18/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beatrice Nichols,Female,White,,,No,No,Alabama,5/24/22,Representative,7,1,100%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lindy Blanchard,Female,White,,,No,Yes,Alabama,5/24/22,Governor,N/A,"126,202",19%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Lew Burdette,Male,White,,,No,Yes,Alabama,5/24/22,Governor,N/A,"42,924",7%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Stacy Lee George,Male,White,,,No,Yes,Alabama,5/24/22,Governor,N/A,"2,546",0%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Kay Ivey,Female,White,,,Yes,No,Alabama,5/24/22,Governor,N/A,"357,069",54%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Tim James,Male,White,,,No,Yes,Alabama,5/24/22,Governor,N/A,"106,181",16%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Donald Trent Jones,Male,White,,,No,Yes,Alabama,5/24/22,Governor,N/A,"3,821",1%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Dean Odle,Male,White,,,No,Yes,Alabama,5/24/22,Governor,N/A,"11,767",2%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Dave Thomas,Male,White,,,No,Yes,Alabama,5/24/22,Governor,N/A,"2,886",0%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Dean Young,Male,White,,,No,Yes,Alabama,5/24/22,Governor,N/A,"2,356",0%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Jan Morgan,Female,White,,,No,Yes,Arkansas,5/24/22,Senator,N/A,"65,958",19%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
John Boozman,Male,White,,,Yes,No,Arkansas,5/24/22,Senator,N/A,"201,677",58%,Won,N/A,N/A,N/A,Fully accepted,Yes,3/8/21,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Heath Loftis,Male,White,,,No,Yes,Arkansas,5/24/22,Senator,N/A,"8,112",2%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Jake Bequette,Male,White,,,No,Yes,Arkansas,5/24/22,Senator,N/A,"71,809",21%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Rick Crawford,Male,White,,,Yes,No,Arkansas,5/24/22,Representative,1,"64,102",75%,Won,N/A,N/A,N/A,Fully denied,Yes,10/7/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jody Shackelford,Male,White,,,No,Yes,Arkansas,5/24/22,Representative,1,"9,837",11%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandt Smith,Male,White,,,No,Yes,Arkansas,5/24/22,Representative,1,"11,981",14%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Conrad Reynolds,Male,White,,,No,Yes,Arkansas,5/24/22,Representative,2,"35,078",41%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
French Hill,Male,White,,,Yes,No,Arkansas,5/24/22,Representative,2,"49,488",59%,Won,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steve Womack,Male,White,,,Yes,No,Arkansas,5/24/22,Representative,3,"60,814",79%,Won,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Neil Robinson Kumar,Male,White,Asian,,No,Yes,Arkansas,5/24/22,Representative,3,"16,414",21%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bruce Westerman,Male,White,,,Yes,No,Arkansas,5/24/22,Representative,4,1,100%,Won,N/A,N/A,N/A,Accepted with reservations,Yes,5/21/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Francis ""Doc"" Washburn",Male,White,,,No,No,Arkansas,5/24/22,Governor,N/A,"58,638",17%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Sarah Huckabee Sanders,Female,White,,,No,No,Arkansas,5/24/22,Governor,N/A,"289,249",83%,Won,N/A,N/A,N/A,Raised questions,Yes,1/25/21,N/A,N/A,N/A,N/A,N/A,Yes,N/A
Gary W. Black,Male,White,,,No,No,Georgia,5/24/22,Senator,N/A,"157,370",13%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Josh Clark,Male,White,,,No,No,Georgia,5/24/22,Senator,N/A,"46,693",4%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kelvin King,Male,Black,,,No,No,Georgia,5/24/22,Senator,N/A,"37,930",3%,Lost,N/A,N/A,N/A,Avoided answering,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Jonathan ""Jon"" McColumn",Male,Black,,,No,No,Georgia,5/24/22,Senator,N/A,"28,601",2%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Latham Saddler,Male,White,,,No,No,Georgia,5/24/22,Senator,N/A,"104,471",9%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Herschel Junior Walker,Male,Black,,,No,No,Georgia,5/24/22,Senator,N/A,"803,560",68%,Won,N/A,N/A,N/A,Raised questions,Yes,9/2/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Earl L. ""Buddy"" Carter",Male,White,,,Yes,No,Georgia,5/24/22,Representative,1,1,100%,Won,N/A,N/A,N/A,Accepted with reservations,Yes,5/21/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vivian L. Childs,Male,Black,,,No,No,Georgia,5/24/22,Representative,2,"3,986",6%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A
Jeremy Hunt,Male,Black,,,No,No,Georgia,5/24/22,Representative,2,"22,923",37%,Made runoff,13875,49%,Lost,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Wayne Johnson,Male,White,,,No,No,Georgia,5/24/22,Representative,2,"11,574",19%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Rich Robertson,Male,White,,,No,No,Georgia,5/24/22,Representative,2,"2,832",5%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Chris West,Male,White,,,No,No,Georgia,5/24/22,Representative,2,"18,658",30%,Made runoff,14622,51%,Won,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Paul Whitehead,Male,White,,,No,No,Georgia,5/24/22,Representative,2,"2,037",3%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Jared Craig,Male,White,,,No,Yes,Georgia,5/24/22,Representative,3,"20,175",17%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Drew Ferguson,Male,White,,,Yes,No,Georgia,5/24/22,Representative,3,"96,314",83%,Won,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jonathan Chavez,Male,White,,,No,No,Georgia,5/24/22,Representative,4,"21,924",78%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surrea Ivy,Female,Black,,,No,No,Georgia,5/24/22,Representative,4,"6,078",22%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Christian Zimm,Male,White,,,No,No,Georgia,5/24/22,Representative,5,1,100%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jake Evans,Male,White,,,No,No,Georgia,5/24/22,Representative,6,"26,160",23%,Made runoff,13808,33%,Lost,Raised questions,Yes,5/5/22,No,N/A,N/A,N/A,N/A,No,N/A
Byron Gatewood,Male,White,,,No,No,Georgia,5/24/22,Representative,6,"3,358",3%,Lost,N/A,N/A,N/A,Avoided answering,No,N/A,No,N/A,N/A,N/A,N/A,No,N/A
Meagan Hanson,Female,White,,,No,No,Georgia,5/24/22,Representative,6,"9,539",8%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,No,N/A,N/A,N/A,N/A,No,N/A
Blake Harbin,Male,White,,,No,No,Georgia,5/24/22,Representative,6,"4,171",4%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,No,N/A,N/A,N/A,N/A,No,N/A
Rich McCormick,Male,White,,,No,No,Georgia,5/24/22,Representative,6,"48,967",43%,Made runoff,27455,67%,Won,Fully denied,No,N/A,Yes,N/A,N/A,N/A,N/A,No,N/A
Paulette Smith,Female,Black,,,No,No,Georgia,5/24/22,Representative,6,"1,123",1%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,No,N/A,N/A,N/A,N/A,No,N/A
Mallory Staples,Female,White,,,No,No,Georgia,5/24/22,Representative,6,"10,178",9%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,No,N/A,N/A,N/A,N/A,No,N/A
Suzi Voyles,Female,White,,,No,No,Georgia,5/24/22,Representative,6,"2,646",2%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,No,N/A,N/A,N/A,N/A,Yes,N/A
Eugene Yu,Male,Asian (Korean),,,No,No,Georgia,5/24/22,Representative,6,"7,411",7%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,No,N/A,N/A,N/A,N/A,No,N/A
Michael Corbin,Male,White,,,No,No,Georgia,5/24/22,Representative,7,"18,637",41%,Made runoff,3666,30%,Lost,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mark Gonsalves,Male,White,,,No,No,Georgia,5/24/22,Representative,7,"12,477",27%,Made runoff,8591,70%,Won,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lisa McCoy,Female,White,,,No,No,Georgia,5/24/22,Representative,7,"6,380",14%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Y.G. Nyghtstorm,Male,Black,,,No,No,Georgia,5/24/22,Representative,7,"3,510",8%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mary West,Female,White,,,No,No,Georgia,5/24/22,Representative,7,"4,370",10%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Austin Scott,Male,White,,,Yes,No,Georgia,5/24/22,Representative,8,1,100%,Won,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Boggus,Male,White,,,No,Yes,Georgia,5/24/22,Representative,9,"4,230",4%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrew Clyde,Male,White,,,Yes,No,Georgia,5/24/22,Representative,9,"90,535",76%,Won,N/A,N/A,N/A,Fully denied,Yes,12/20/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
J. Gregory Howard,Male,White,,,No,Yes,Georgia,5/24/22,Representative,9,"3,463",3%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John London,Male,White,,,No,Yes,Georgia,5/24/22,Representative,9,"2,359",2%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ben Souther,Male,White,,,No,Yes,Georgia,5/24/22,Representative,9,"17,922",15%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Timothy Barr,Male,White,,,No,No,Georgia,5/24/22,Representative,10,"16,007",14%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paul Broun,Male,White,,,No,No,Georgia,5/24/22,Representative,10,"14,901",13%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Collins,Male,White,,,No,No,Georgia,5/24/22,Representative,10,"28,741",26%,Made runoff,30536,74%,Won,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Curry,Male,White,,,No,No,Georgia,5/24/22,Representative,10,"10,557",9%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vernon J. Jones,Male,Black,,,No,No,Georgia,5/24/22,Representative,10,"24,165",22%,Made runoff,10469,26%,Lost,Fully denied,Yes,5/3/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marc McMain,Male,White,,,No,No,Georgia,5/24/22,Representative,10,"5,222",5%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alan Sims,Male,White,,,No,No,Georgia,5/24/22,Representative,10,"7,388",7%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mitchell Swan,Male,White,,,No,No,Georgia,5/24/22,Representative,10,"5,184",5%,Lost,N/A,N/A,N/A,Avoided answering,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Barry Loudermilk,Male,White,,,Yes,No,Georgia,5/24/22,Representative,11,1,100%,Won,N/A,N/A,N/A,Fully denied,Yes,5/21/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rick W. Allen,Male,White,,,Yes,No,Georgia,5/24/22,Representative,12,1,100%,Won,N/A,N/A,N/A,Fully denied,Yes,5/21/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Caesar Gonzales,Male,Latino,,,No,No,Georgia,5/24/22,Representative,13,"12,659",57%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dominika Hawkins,Female,Black,,,No,No,Georgia,5/24/22,Representative,13,"4,450",20%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Calina Plotky,Female,White,Latino (Brazilian),,No,No,Georgia,5/24/22,Representative,13,"5,022",23%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eric Cunningham,Male,White,,,No,Yes,Georgia,5/24/22,Representative,14,"6,390",6%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Marjorie Taylor Greene,Female,White,,,Yes,No,Georgia,5/24/22,Representative,14,"72,215",70%,Won,N/A,N/A,N/A,Fully denied,Yes,4/6/22,N/A,N/A,No,N/A,No,N/A,N/A
James Haygood,Male,White,,,No,Yes,Georgia,5/24/22,Representative,14,"3,790",4%,Lost,N/A,N/A,N/A,Accepted with reservations,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Charles Lutin,Male,White,,,No,Yes,Georgia,5/24/22,Representative,14,"2,304",2%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Jennifer Strahan,Female,White,,,No,Yes,Georgia,5/24/22,Representative,14,"17,595",17%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A
Seth Synstelien,Male,White,,,No,Yes,Georgia,5/24/22,Representative,14,"1,547",1%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Catherine Davis,Female,Black,,,No,Yes,Georgia,5/24/22,Governor,N/A,"9,788",1%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Brian Kemp,Male,White,,,Yes,No,Georgia,5/24/22,Governor,N/A,"888,078",74%,Won,N/A,N/A,N/A,Accepted with reservations,No,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A
David A. Perdue,Male,White,,,No,Yes,Georgia,5/24/22,Governor,N/A,"262,389",22%,Lost,N/A,N/A,N/A,Fully denied,Yes,12/20/21,N/A,No,N/A,N/A,N/A,N/A,N/A
Kandiss Taylor,Female,White,,,No,Yes,Georgia,5/24/22,Governor,N/A,"41,232",3%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Tom Williams,Male,White,,,No,Yes,Georgia,5/24/22,Governor,N/A,"3,255",0%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
