person,dept,eow,cause
Detective Harry Hinkson Boon,"Pennsylvania Railroad Police Department, RR","EOW: Wednesday, June 30, 1909",Cause of Death: Gunfire
Patrolman Henry Schnable,"Chicago Police Department, IL","EOW: Thursday, July 1, 1909",Cause of Death: Gunfire
Patrolman John P. Kearney,"Chicago Police Department, IL","EOW: Friday, July 2, 1909",Cause of Death: Fall
Deputy James I. Kent,"Union County Sheriff's Department, NM","EOW: Friday, July 2, 1909",Cause of Death: Gunfire
Police Officer Peter Gauer,"Milwaukee Police Department, WI","EOW: Saturday, July 3, 1909",Cause of Death: Electrocuted
City Marshal Charles T. Farrow,"Okemah Police Department, OK","EOW: Sunday, July 4, 1909",Cause of Death: Gunfire
Constable Cotesworth Pinckney Fishburne,"South Carolina State Dispensary Commission, SC","EOW: Tuesday, July 6, 1909",Cause of Death: Gunfire
Policeman J. Willett Miller,"Blowing Rock Police Department, NC","EOW: Friday, July 9, 1909",Cause of Death: Gunfire
Deputy Dispensary Constable John Dozier Altman,"South Carolina State Dispensary Commission, SC","EOW: Friday, July 9, 1909",Cause of Death: Gunfire
City Marshal Henry R. Rickey,"Clarence Police Department, MO","EOW: Saturday, July 10, 1909",Cause of Death: Gunfire
Patrolman Edward Shay,"Southern Pacific Railroad Police Department, RR","EOW: Tuesday, July 13, 1909",Cause of Death: Struck by train
Detective Sergeant John Dunleavy,"Pueblo Police Department, CO","EOW: Wednesday, July 21, 1909",Cause of Death: Gunfire
Officer Rufus A. Hobbs,"Norfolk Police Department, VA","EOW: Friday, July 23, 1909",Cause of Death: Animal related
Police Officer G. M. Lanius,"Alexandria Police Department, LA","EOW: Monday, August 2, 1909",Cause of Death: Gunfire
"Officer William Addison ""Ad"" Campbell","Fort Worth Police Department, TX","EOW: Thursday, August 12, 1909",Cause of Death: Gunfire
City Marshal J. H. Swinford,"Kiefer Police Department, OK","EOW: Monday, August 16, 1909",Cause of Death: Gunfire
Private John L. Williams,"Pennsylvania State Police, PA","EOW: Sunday, August 22, 1909",Cause of Death: Gunfire
Deputy Sheriff Harry H. Exley,"Allegheny County Sheriff's Office, PA","EOW: Sunday, August 22, 1909",Cause of Death: Gunfire
"Private John Curtis ""Jack"" Smith","Pennsylvania State Police, PA","EOW: Monday, August 23, 1909",Cause of Death: Gunfire
Deputy Sheriff Joseph W. Sykes,"Norfolk County Sheriff's Office, VA","EOW: Sunday, August 29, 1909",Cause of Death: Gunfire
Deputy Sheriff John L. Wainwright,"Clarke County Sheriff's Department, AL","EOW: Monday, August 30, 1909",Cause of Death: Gunfire
Policeman Walter Marshall,"Clarksdale Police Department, MS","EOW: Saturday, September 4, 1909",Cause of Death: Gunfire
Policeman Clifford A. Hawley,"Huron Police Department, SD","EOW: Tuesday, September 7, 1909",Cause of Death: Gunfire
Special Deputy Sheriff Hillen Armour Munson,"Brazoria County Sheriff's Office, TX","EOW: Wednesday, September 15, 1909",Cause of Death: Gunfire
Detective Frank Delmege,"Des Moines Police Department, IA","EOW: Monday, September 20, 1909",Cause of Death: Gunfire
Deputy Sheriff Carlo Jones,"Whitley County Sheriff's Department, KY","EOW: Friday, September 24, 1909",Cause of Death: Gunfire
Patrolman Thomas M. Eckhart,"Salem Police Department, OR","EOW: Friday, October 1, 1909",Cause of Death: Gunfire
Special Officer Charles C. Riley,"Salt Lake City Police Department, UT","EOW: Tuesday, October 5, 1909",Cause of Death: Gunfire
Police Officer Richard D. Bell,"Haileyville Police Department, OK","EOW: Wednesday, October 6, 1909",Cause of Death: Gunfire
Patrolman George W. Thomas,"Buffalo Police Department, NY","EOW: Sunday, October 10, 1909",Cause of Death: Heart attack
Officer Hammersly McMurray,"San Francisco Police Department, CA","EOW: Friday, October 15, 1909",Cause of Death: Struck by streetcar
Police Officer Wilson Pringle,"Lawrence Police Department, KS","EOW: Saturday, October 16, 1909",Cause of Death: Gunfire
City Marshal Robert S. Garrett,"Hastings Police Department, OK","EOW: Saturday, October 16, 1909",Cause of Death: Gunfire
Patrolman William Walsh,"Pittsburgh Police Department, PA","EOW: Wednesday, October 20, 1909",Cause of Death: Drowned
Guard John F. Campbell,"New Castle County Workhouse, DE","EOW: Friday, October 22, 1909",Cause of Death: Gunfire
Patrolman Simon J. Callinan,"Buffalo Police Department, NY","EOW: Monday, October 25, 1909",Cause of Death: Struck by train
Deputy Sheriff Pleas Yargee,"Tulsa County Sheriff's Office, OK","EOW: Wednesday, October 27, 1909",Cause of Death: Gunfire
Officer Alfred B. Waterbury,"Spokane Police Department, WA","EOW: Thursday, October 28, 1909",Cause of Death: Gunfire
Town Marshal Patrick J. Hatton,"Carroll Police Department, IA","EOW: Tuesday, November 2, 1909",Cause of Death: Gunfire
Patrolman William Smith,"Joplin Police Department, MO","EOW: Monday, November 15, 1909",Cause of Death: Gunfire
Patrolman William Murphy,"Louisville Police Department, KY","EOW: Friday, November 19, 1909",Cause of Death: Gunfire
City Marshal Walter Nichols,"Delhi Police Department, LA","EOW: Saturday, November 20, 1909",Cause of Death: Gunfire
Police Officer George Clinton Eubank,"Wylam Police Department, AL","EOW: Tuesday, November 23, 1909",Cause of Death: Gunfire
Deputy Sheriff William H. Farra,"Darke County Sheriff's Office, OH","EOW: Monday, November 29, 1909",Cause of Death: Gunfire
Sheriff Jacob Bell,"Holmes County Sheriff's Department, OH","EOW: Thursday, December 9, 1909",Cause of Death: Gunfire
Special Police Officer Theodore G. Canham,"San Francisco Police Department, CA","EOW: Saturday, December 11, 1909",Cause of Death: Electrocuted
Jailer William Vernon Coffey,"Green County Jail, KY","EOW: Saturday, December 11, 1909",Cause of Death: Gunfire
City Marshal James Edgar Williams,"Rosebud Police Department, TX","EOW: Tuesday, December 21, 1909",Cause of Death: Gunfire
Officer William T. Osborne,"Lancaster Police Department, OH","EOW: Monday, December 27, 1909",Cause of Death: Gunfire
Special Policeman John Babb,"West Chester Borough Police Department, PA","EOW: Friday, December 31, 1909",Cause of Death: Gunfire
Crossing Policeman Eugene Calvin Smith,"Metropolitan Police Department, DC","EOW: Saturday, January 1, 1910",Cause of Death: Fall
Town Marshal William Bagget,"Claxton Police Department, GA","EOW: Wednesday, January 12, 1910",Cause of Death: Gunfire
Policeman Warren G. Devinish,"Leavenworth Police Department, KS","EOW: Wednesday, January 12, 1910",Cause of Death: Gunfire
Deputy Sheriff Andrew W. Lindquist,"Alameda County Sheriff's Office, CA","EOW: Thursday, January 13, 1910",Cause of Death: Gunfire
Patrolman Samuel Charles Carpenter,"Denver Police Department, CO","EOW: Monday, January 17, 1910",Cause of Death: Gunfire
Sheriff Eugene Dickson Hubbard,"Simpson County Sheriff's Department, MS","EOW: Friday, January 21, 1910",Cause of Death: Gunfire
Deputy Sheriff Howard Edmond Murray,"Pittsburg County Sheriff's Office, OK","EOW: Friday, January 28, 1910",Cause of Death: Gunfire
Deputy Sheriff Gordon Givens,"Bell County Sheriff's Department, KY","EOW: Sunday, January 30, 1910",Cause of Death: Gunfire
Special Deputy Sheriff John A. Beasley,"San Patricio County Sheriff's Office, TX","EOW: Sunday, January 30, 1910",Cause of Death: Gunfire
Policeman James O'Brien,"Philadelphia Police Department, PA","EOW: Friday, February 4, 1910",Cause of Death: Fire
Marshal William Henry Maeger,"Tallapoosa Police Department, GA","EOW: Sunday, February 13, 1910",Cause of Death: Gunfire
Marshal William Jefferson Prince,"Davisboro Police Department, GA","EOW: Sunday, February 20, 1910",Cause of Death: Gunfire
Officer Morris R. Reagan,"Oklahoma City Police Department, OK","EOW: Friday, February 25, 1910",Cause of Death: Gunfire
Deputy Sheriff W. H. Lucy,"Shelby County Sheriff's Office, TN","EOW: Friday, February 25, 1910",Cause of Death: Gunfire
Deputy Sheriff Charles Washington Hodges,"Haskell County Sheriff's Office, OK","EOW: Saturday, February 26, 1910",Cause of Death: Gunfire
Officer Adam Hawk,"Quinault Tribal Police Department, TR","EOW: Monday, February 28, 1910",Cause of Death: Gunfire
Officer John Williams,"Quinault Tribal Police Department, TR","EOW: Monday, February 28, 1910",Cause of Death: Gunfire
Chief of Police C. W. Dunn,"Scotland Neck Police Department, NC","EOW: Friday, March 4, 1910",Cause of Death: Gunfire
Patrolman John Wren,"Chicago Police Department, IL","EOW: Saturday, March 5, 1910",Cause of Death: Gunfire
Deputy Sheriff Edward Matthews,"Manatee County Sheriff's Office, FL","EOW: Sunday, March 6, 1910",Cause of Death: Gunfire
Policeman Ellsworth G. Deitz,"Bridgeport Police Department, CT","EOW: Tuesday, March 8, 1910",Cause of Death: Gunfire
Police Officer Frank Horn Cloud,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Thursday, March 10, 1910",Cause of Death: Gunfire
Deputy Sheriff J. C. Adams,"Franklin Parish Sheriff's Department, LA","EOW: Saturday, March 12, 1910",Cause of Death: Gunfire
Night Watchman George Whybark,"Santa Clara Police Department, CA","EOW: Monday, March 14, 1910",Cause of Death: Gunfire
Patrol Driver John H. Ryan,"Memphis Police Department, TN","EOW: Saturday, March 19, 1910",Cause of Death: Gunfire
Deputy Constable Early Evans Sparks,"McLennan County Constable's Office - Precinct 1, TX","EOW: Friday, March 25, 1910",Cause of Death: Stabbed
Marshal Jack G. Deitrick,"Northport Police Department, WA","EOW: Friday, March 25, 1910",Cause of Death: Gunfire
Guard Thomas C. McCullough,"New Castle County Workhouse, DE","EOW: Saturday, March 26, 1910",Cause of Death: Gunfire
Special Agent Edward Scott,"Union Pacific Railroad Police Department, RR","EOW: Monday, March 28, 1910",Cause of Death: Struck by train
Deputy Chief William E. Murphy,"Houston Police Department, TX","EOW: Friday, April 1, 1910",Cause of Death: Gunfire
"Jailer J. R. ""Bob"" Temple","Lauderdale County Sheriff's Office, MS","EOW: Wednesday, April 6, 1910",Cause of Death: Gunfire
Policeman David Brooks,"Los Angeles Police Department, CA","EOW: Friday, April 8, 1910",Cause of Death: Gunfire
Deputy Collector William Arnot Anderson,"United States Department of the Treasury - Office of Internal Revenue, US","EOW: Wednesday, April 13, 1910",Cause of Death: Gunfire
Deputy City Marshal Samuel N. Combs,"Orange Police Department, TX","EOW: Monday, April 18, 1910",Cause of Death: Stabbed
Officer Joseph Krupp,"Indianapolis Police Department, IN","EOW: Tuesday, April 19, 1910",Cause of Death: Gunfire
Patrolman Patrick Melia,"Chicago Police Department, IL","EOW: Wednesday, April 27, 1910",Cause of Death: Gunfire
Chief of Police Charles L. Schmidt,"Carlstadt Police Department, NJ","EOW: Friday, April 29, 1910",Cause of Death: Gunfire
Constable James J. Bobbitt,"Houston County Constable's Office - Precinct 7, TX","EOW: Saturday, April 30, 1910",Cause of Death: Gunfire
Sheriff George Washington Kemp,"Lake County Sheriff's Office, CA","EOW: Thursday, May 5, 1910",Cause of Death: Gunfire
Town Marshal Amos Brown,"Fairbury Police Department, IL","EOW: Thursday, May 5, 1910",Cause of Death: Gunfire
Policeman William Weiss,"Philadelphia Police Department, PA","EOW: Sunday, May 8, 1910",Cause of Death: Animal related
Officer Hezekiah E. Hires,"Jacksonville Police Department, FL","EOW: Friday, May 13, 1910",Cause of Death: Gunfire
Patrolman Frank Weber,"Louisville Police Department, KY","EOW: Monday, May 23, 1910",Cause of Death: Gunfire
Patrolman William C. Sube,"Louisville Police Department, KY","EOW: Sunday, June 5, 1910",Cause of Death: Duty related illness
Deputy Sheriff Major H. Kirby,"Vernon Parish Sheriff's Office, LA","EOW: Tuesday, June 7, 1910",Cause of Death: Struck by train
Deputy Sheriff Emmet F. Haskins,"Franklin County Sheriff's Department, MA","EOW: Sunday, June 12, 1910",Cause of Death: Gunfire
Patrolman Dennis J. Sullivan,"Jersey City Police Department, NJ","EOW: Sunday, June 12, 1910",Cause of Death: Electrocuted
Patrolman Frank V. Hansen,"Savannah Police Department, GA","EOW: Friday, June 17, 1910",Cause of Death: Gunfire
Town Marshal Christopher C. Chenault,"Rayville Police Department, LA","EOW: Friday, June 17, 1910",Cause of Death: Gunfire
Police Officer Loner Denson Camp,"Birmingham Police Department, AL","EOW: Sunday, June 19, 1910",Cause of Death: Gunfire
Policeman Walter McPeak,"Johnson City Police Department, TN","EOW: Thursday, June 23, 1910",Cause of Death: Stabbed
Patrolman James H. Carroll,"Lynn Police Department, MA","EOW: Saturday, June 25, 1910",Cause of Death: Gunfire
Deputy T. W. Sheffield,"Irwin County Sheriff's Office, GA","EOW: Monday, June 27, 1910",Cause of Death: Gunfire
Sheriff Pearlie McInnis,"Irwin County Sheriff's Office, GA","EOW: Monday, June 27, 1910",Cause of Death: Gunfire
Chief of Police Stephen Davis,"Ocilla Police Department, GA","EOW: Monday, June 27, 1910",Cause of Death: Gunfire
Lieutenant Conrad Frank,"Ashland Police Department, KY","EOW: Wednesday, June 29, 1910",Cause of Death: Gunfire
Merchant Policeman Ambrose Donahue,"Leavenworth Police Department, KS","EOW: Saturday, July 2, 1910",Cause of Death: Gunfire
Deputy Sheriff Wesley G. Davis,"Pulaski County Sheriff's Department, IL","EOW: Monday, July 4, 1910",Cause of Death: Gunfire
Detective W. M. Collins,"Augusta Police Department, GA","EOW: Wednesday, July 6, 1910",Cause of Death: Accidental
Patrolman John W. McCormick,"New York City Police Department, NY","EOW: Saturday, July 9, 1910",Cause of Death: Automobile accident
Chief of Police John Albert Struble,"Clinton Police Department, IL","EOW: Thursday, July 14, 1910",Cause of Death: Gunfire
Police Officer James Marion Sings,"Wadesboro Police Department, NC","EOW: Wednesday, July 20, 1910",Cause of Death: Gunfire
Constable James W. Mitchell,"Bell County Constable's Office - Precinct 1, TX","EOW: Friday, July 22, 1910",Cause of Death: Gunfire
Corporal Jose R. Luccas-Maldonado,"Puerto Rico Police Department, PR","EOW: Saturday, July 23, 1910",Cause of Death: Gunfire
Patrol Wagon Driver George Kent,"Scranton Police Department, PA","EOW: Saturday, July 30, 1910",Cause of Death: Gunfire
Night Marshal Arthur Goeglein,"Telluride Marshal's Office, CO","EOW: Sunday, July 31, 1910",Cause of Death: Gunfire
Ranger Quirl Bailey Carnes,"Texas Rangers, TX","EOW: Sunday, July 31, 1910",Cause of Death: Gunfire
Special Deputy Henry B. Lawrence,"Cameron County Sheriff's Office, TX","EOW: Sunday, July 31, 1910",Cause of Death: Gunfire
Special Agent William Floyd,"Union Pacific Railroad Police Department, RR","EOW: Thursday, August 4, 1910",Cause of Death: Gunfire
Sheriff Edmond Dull,"Monroe County Sheriff's Department, MI","EOW: Friday, August 5, 1910",Cause of Death: Gunfire
Patrolman Charles E. Twitchell,"Rochester Police Department, NY","EOW: Wednesday, August 10, 1910",Cause of Death: Gunfire
Patrolman Edward G. Shea,"Chicago Police Department, IL","EOW: Tuesday, August 16, 1910",Cause of Death: Struck by train
Town Marshal Joseph W. Smith,"Bay Minette Police Department, AL","EOW: Wednesday, August 17, 1910",Cause of Death: Gunfire
Patrolman Jerome Hostetter,"Marion City Police Department, OH","EOW: Friday, August 19, 1910",Cause of Death: Gunfire
Sheriff Jake Houpt,"Garland County Sheriff's Office, AR","EOW: Saturday, August 20, 1910",Cause of Death: Gunfire
Patrolman Anthony D. Hiner,"Roanoke City Police Department, VA","EOW: Sunday, August 21, 1910",Cause of Death: Fall
Deputy Sheriff John Holmes,"Humboldt County Sheriff's Office, NV","EOW: Saturday, August 27, 1910",Cause of Death: Gunfire
Night Policeman Charles E. King,"Jerome Police Department, AZ","EOW: Thursday, September 1, 1910",Cause of Death: Gunfire
Special Officer Joel Robert Dubose,"Southern Pacific Railroad Police Department, RR","EOW: Monday, September 5, 1910",Cause of Death: Gunfire
Special Officer Thomas Henry Bennett,"Texas and Pacific Railroad Police Department, RR","EOW: Sunday, September 11, 1910",Cause of Death: Gunfire
City Marshal W. D. Coursey,"White Plains Marshal's Office, KY","EOW: Tuesday, September 13, 1910",Cause of Death: Gunfire
Chief of Police James Stallings,"Spring Hope Police Department, NC","EOW: Wednesday, September 21, 1910",Cause of Death: Gunfire
